true_label_id,true_gloss,predicted_label_id,predicted_gloss,count
133,graduate,145,help,2
111,fat,57,children,2
109,family,60,class,2
149,hot,89,delicious,2
285,who,104,eat,2
2,africa,257,take,1
6,animal,140,have,1
3,again,62,close,1
4,all,14,bad,1
5,always,169,late,1
10,arrive,190,money,1
11,baby,190,money,1
12,back,199,no,1
13,backpack,261,teacher,1
14,bad,205,order,1
16,balance,174,leave,1
16,balance,209,party,1
17,ball,159,internet,1
18,banana,108,example,1
19,bar,127,girl,1
19,bar,285,who,1
20,basketball,53,chat,1
20,basketball,220,president,1
7,apple,24,because,1
0,about,165,knife,1
1,accident,78,crash,1
25,bed,297,yesterday,1
26,before,88,delay,1
26,before,210,past,1
27,behind,229,ride,1
29,birthday,264,thanksgiving,1
30,black,121,forget,1
30,black,265,theory,1
32,blue,286,why,1
34,bowling,169,late,1
37,brother,289,with,1
39,business,108,example,1
40,but,90,different,1
41,buy,222,pull,1
42,call,196,name,1
42,call,272,train,1
44,candy,7,apple,1
45,careful,268,time,1
48,center,155,husband,1
49,cereal,7,apple,1
50,chair,234,salt,1
51,champion,175,letter,1
53,chat,109,family,1
54,cheat,218,police,1
55,check,167,language,1
55,check,211,pencil,1
61,clock,51,champion,1
62,close,83,dark,1
63,clothes,98,dress,1
64,coffee,294,year,1
22,bathroom,12,back,1
8,approve,257,take,1
9,argue,209,party,1
68,computer,194,movie,1
67,color,193,mother,1
65,cold,221,problem,1
69,convince,151,house,1
71,cool,144,heart,1
69,convince,175,letter,1
70,cook,92,discuss,1
71,cool,103,easy,1
74,cough,262,tell,1
76,cousin,139,hat,1
77,cow,297,yesterday,1
78,crash,37,brother,1
80,cry,153,humble,1
72,copy,96,door,1
73,corn,44,candy,1
73,corn,127,girl,1
84,daughter,37,brother,1
84,daughter,86,deaf,1
90,different,40,but,1
91,disappear,242,show,1
92,discuss,271,trade,1
94,doctor,15,bake,1
95,dog,230,right,1
95,dog,295,yellow,1
96,door,150,hour,1
97,draw,178,list,1
98,dress,63,clothes,1
99,drink,38,brown,1
102,east,262,tell,1
80,cry,247,snow,1
81,cute,228,restaurant,1
82,dance,162,jump,1
108,example,23,beard,1
107,environment,50,chair,1
105,egg,57,children,1
110,far,138,hard,1
110,far,174,leave,1
112,father,193,mother,1
114,feel,144,heart,1
108,example,202,office,1
116,finish,34,bowling,1
118,fish,34,bowling,1
118,fish,137,happy,1
119,flower,104,eat,1
121,forget,265,theory,1
122,friend,117,first,1
124,full,290,woman,1
115,fine,185,mean,1
126,game,100,drive,1
127,girl,293,wrong,1
130,go,65,cold,1
128,give,222,pull,1
131,good,42,call,1
131,good,190,money,1
134,green,127,girl,1
135,hair,139,hat,1
137,happy,217,please,1
138,hard,45,careful,1
139,hat,19,bar,1
140,have,6,animal,1
142,hear,46,cat,1
143,hearing,44,candy,1
24,because,286,why,1
25,bed,7,apple,1
145,help,190,money,1
144,heart,137,happy,1
147,home,35,boy,1
146,here,57,children,1
154,hurry,53,chat,1
155,husband,287,wife,1
158,interest,64,coffee,1
150,hour,172,law,1
159,internet,68,computer,1
161,join,3,again,1
163,kill,188,meet,1
164,kiss,72,copy,1
165,knife,105,egg,1
166,know,280,water,1
168,last,26,before,1
158,interest,72,copy,1
170,later,91,disappear,1
172,law,258,tall,1
174,leave,130,go,1
174,leave,170,later,1
176,light,67,color,1
177,like,117,first,1
177,like,257,take,1
179,live,6,animal,1
181,make,64,coffee,1
182,man,139,hat,1
183,many,116,finish,1
183,many,146,here,1
184,match,231,room,1
185,mean,62,close,1
186,meat,194,movie,1
168,last,180,losear,1
189,milk,295,yellow,1
190,money,3,again,1
191,more,65,cold,1
194,movie,25,bed,1
195,music,256,table,1
196,name,271,trade,1
197,need,118,fish,1
199,no,22,bathroom,1
199,no,214,pizza,1
204,orange,285,who,1
205,order,215,plan,1
206,paint,150,hour,1
208,paper,56,cheese,1
209,party,216,play,1
210,past,26,before,1
211,pencil,91,disappear,1
212,person,209,party,1
214,pizza,113,fault,1
214,pizza,213,pink,1
215,plan,180,losear,1
216,play,200,none,1
216,play,209,party,1
219,practice,18,banana,1
223,purple,262,tell,1
224,rabbit,220,president,1
226,red,213,pink,1
227,remember,286,why,1
228,restaurant,280,water,1
229,ride,234,salt,1
230,right,52,change,1
231,room,4,all,1
187,medicine,56,cheese,1
231,room,184,match,1
232,run,152,how,1
235,same,117,first,1
233,russia,89,delicious,1
238,secretary,211,pencil,1
238,secretary,239,share,1
239,share,59,city,1
236,sandwich,136,halloween,1
241,short,250,soon,1
241,short,273,travel,1
242,show,108,example,1
244,sign,209,party,1
245,since,100,drive,1
246,small,62,close,1
247,snow,53,chat,1
240,shirt,160,jacket,1
248,some,281,week,1
250,soon,71,cool,1
250,soon,219,practice,1
251,south,273,travel,1
252,stay,235,same,1
256,table,84,daughter,1
257,take,197,need,1
257,take,213,pink,1
258,tall,135,hair,1
258,tall,172,law,1
259,tea,186,meat,1
262,tell,143,hearing,1
262,tell,213,pink,1
265,theory,79,crazy,1
266,thin,136,halloween,1
247,snow,98,dress,1
266,thin,264,thanksgiving,1
267,thursday,117,first,1
271,trade,222,pull,1
267,thursday,137,happy,1
273,travel,38,brown,1
274,ugly,65,cold,1
276,wait,278,want,1
272,train,17,ball,1
278,want,276,wait,1
279,war,16,balance,1
280,water,193,mother,1
281,week,292,write,1
282,what,185,mean,1
282,what,278,want,1
283,where,199,no,1
277,walk,88,delay,1
284,white,74,cough,1
284,white,177,like,1
286,why,274,ugly,1
288,window,243,sick,1
289,with,172,law,1
290,woman,14,bad,1
292,write,174,leave,1
292,write,281,week,1
293,wrong,228,restaurant,1
294,year,291,work,1
296,yes,101,drop,1
296,yes,197,need,1
297,yesterday,99,drink,1
297,yesterday,142,hear,1
298,you,296,yes,1
299,your,230,right,1
